epoch,learning_rate,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
0,9.779754323328192e-06,0.5410191718371671,0.7913765907287598,0.49993595480918884,0.5148397088050842,0.5072784423828125,0.4708972154613136,0.7854406237602234,0.4657210409641266,0.5426997542381287,0.5012722611427307
1,9.140576474687263e-06,0.48422366828087166,0.8181217908859253,0.5580394268035889,0.6157498955726624,0.5854760408401489,0.44865434174986324,0.800218939781189,0.4972527325153351,0.4986225962638855,0.4979366958141327
2,8.145033635316128e-06,0.45101387952619415,0.8342459201812744,0.5944666862487793,0.6462208032608032,0.6192643046379089,0.40461700906899617,0.8149972558021545,0.5305623412132263,0.5977961421012878,0.5621761679649353
3,6.890576474687263e-06,0.40804967055256713,0.8543873429298401,0.6393183469772339,0.6927846074104309,0.6649784445762634,0.3668237264620658,0.8456485867500305,0.6160458326339722,0.5922865271568298,0.6039326190948486
4,5.5e-06,0.37379039417613635,0.867594838142395,0.6667068004608154,0.7303785681724548,0.6970917582511902,0.33606190754496035,0.8620689511299133,0.6773163080215454,0.584022045135498,0.6272189617156982
5,4.109423525312737e-06,0.3548728813559322,0.8755468726158142,0.6854681968688965,0.7454161643981934,0.714186429977417,0.3516066736935004,0.8571428656578064,0.659375011920929,0.581267237663269,0.617862343788147
6,2.8549663646838717e-06,0.34032042341927143,0.8798117637634277,0.6931121349334717,0.7605856657028198,0.7252829670906067,0.3442850258992068,0.8538587689399719,0.6148325204849243,0.707988977432251,0.6581305861473083
7,1.859423525312737e-06,0.33754362609715494,0.880719780921936,0.6957308053970337,0.7609813809394836,0.7268946766853333,0.3548748592318278,0.8461959362030029,0.5995145440101624,0.6804407835006714,0.6374193429946899
8,1.220245676671809e-06,0.32965932951450033,0.8861404061317444,0.7063406705856323,0.7773380875587463,0.7401406764984131,0.3244014881893634,0.8697317838668823,0.7035830616950989,0.5950413346290588,0.6447761058807373
9,1e-06,0.3237135406635208,0.8889469504356384,0.7143029570579529,0.7793167233467102,0.7453948855400085,0.33068747489144557,0.8648056983947754,0.6457286477088928,0.707988977432251,0.6754270792007446
