epoch,learning_rate,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
0,9.846666218300808e-06,0.5398310888661128,0.7925047278404236,0.5025169849395752,0.5267115235328674,0.5143299102783203,0.47804313676362487,0.7712096571922302,0.4337349534034729,0.4958677589893341,0.4627249240875244
1,9.397114317029975e-06,0.4846888950892857,0.8153151869773865,0.5521045923233032,0.6073077321052551,0.5783919095993042,0.4186910216083151,0.8171866536140442,0.5596708059310913,0.3746556341648102,0.44884490966796875
2,8.681980515339464e-06,0.4373426494056791,0.8391712307929993,0.6040019392967224,0.6649518609046936,0.633013129234314,0.35305315347416916,0.8549534678459167,0.6441176533699036,0.6033057570457458,0.6230441331863403
3,7.75e-06,0.3844444212765518,0.8636326193809509,0.6569788455963135,0.7245745658874512,0.6891230940818787,0.35568764851442836,0.8418172001838684,0.5943877696990967,0.641873300075531,0.617218554019928
4,6.664685702961344e-06,0.3689389389410907,0.8694108724594116,0.6684091687202454,0.7421184778213501,0.7033379077911377,0.33268510747529745,0.8680897355079651,0.6631016135215759,0.6831955909729004,0.6729986667633057
5,5.500000000000001e-06,0.35136000784173455,0.8749690651893616,0.680194616317749,0.7561007738113403,0.716141939163208,0.3335273792759334,0.8505747318267822,0.6236263513565063,0.6253443360328674,0.624484121799469
6,4.335314297038658e-06,0.3399312117801425,0.8782433867454529,0.6866130828857422,0.7658620476722717,0.7240756154060364,0.32951715582048346,0.8615216016769409,0.6519337296485901,0.650137722492218,0.6510345339775085
7,3.250000000000002e-06,0.32855806344410354,0.8845444917678833,0.7011289596557617,0.7782614231109619,0.737684428691864,0.312267612315372,0.8812260627746582,0.6972972750663757,0.71074378490448,0.7039563655853271
8,2.318019484660537e-06,0.3211789493279496,0.8862504363059998,0.7051053047180176,0.78155916929245,0.7413663864135742,0.31878922543849153,0.8697317838668823,0.6876876950263977,0.6308540105819702,0.6580459475517273
9,1.6028856829700262e-06,0.31979756373128987,0.8866356611251831,0.7058403491973877,0.7827463150024414,0.7423067092895508,0.3373399062542738,0.8697317838668823,0.7240143418312073,0.5564738512039185,0.6292834877967834
10,1.1533337816991932e-06,0.3131032847581444,0.8893046975135803,0.712799072265625,0.7860440611839294,0.747631847858429,0.31222671074731606,0.8839628100395203,0.7308868765830994,0.6584022045135498,0.6927536129951477
11,1e-06,0.30880588848056073,0.893679678440094,0.7235655188560486,0.7934309244155884,0.7568894028663635,0.31451162258957877,0.8806787133216858,0.696476936340332,0.707988977432251,0.7021857500076294
